Settimana,Influ A,Influ Others
46,13.31923890063425,86.68076109936575
47,15.213358070500927,84.78664192949907
48,14.540059347181009,85.45994065281899
49,15.24609843937575,84.75390156062424
50,18.779342723004692,81.2206572769953
51,27.788649706457925,72.21135029354208
52,35.700197238658774,64.29980276134121
1,49.21178889650445,50.78821110349554
2,57.91464073473798,42.08535926526202
3,59.23295454545454,40.76704545454545
4,62.14882308276386,37.85117691723614
5,62.1727237202032,37.8272762797968
6,55.82022471910112,44.17977528089887
7,54.49236298292902,45.50763701707098
8,49.40298507462686,50.59701492537313
9,51.36612021857923,48.63387978142077
10,45.63172043010753,54.36827956989247
11,40.229885057471265,59.77011494252874
